Abadejo
Abanico
Abaniquillo
Abanto
Abeja
Abejaruco
Abejero
Abejilla
Abejorro
Abichón
Abrojo
Abubilla
Abulón
Acalefo
Acantisita
Acantiza
Acedía
Acentor
Acevia
Achichilique
Achoque
Acocil
Acoyotl
Acranio
Actinodura
Acuchí
Addax
Agachadiza
Agachona
Agama
Agateador
Aguacioso
Aguacuajada
Aguará
Aguatero
Aguililla
Aguilucho
Aguja
Agujeta
Agujón
Agutí
Aguzanieves
Ahulla
Ajolote
Akialoa
Akiapolaau
Alacha
Alacrán
Aladroque
Albacora
Albatros
Alburno
Alca
Alcaraván
Alcatraz
Alcaudón
Alce
Alción
Alcotán
Alcélafo
Alegrín
Alete
Alfiler
Alfonsino
Aligote
Aligátor
Alimoche
Alitán
Almeja
Almejón
Almiquí
Almirante
Alondra
Alosa
Alpabarda
Alpaca
Alzacola
Amakihi
Amaranta
Amazilia
Amazona
Amia
Ammonoideo
Ampelis
Anaconda
Anambé
Anchichilique
Anchoa
Anchoveta
Anchoíta
Andarríos
Andorrero
Anfioxo
Anfisbena
Anfiuma
Angelote
Anguantibo
Anguila
Angú
Aninga
Anisakis
Anjova
Anoa
Anolis
Anta
Anteojitos
Antequino
Antílope
Anémona
Anón
Apalis
Apereá
Arador
Araguato
Arao
Arapaima
Arapapá
Arasarí
Aratinga
Arawana
Araña
Arañero
Arborófila
Archibebe
Ardilla
Arenque
Argalí
Argentina
Argonauta
Argos
Arirai
Armadillo
Armiño
Arrendajo
Arrenga
Arruí
Artamo
Artemia
Aruco
Ascidia
Asitis
Asnillo
Asno
Aspio
Atila
Atún
Aura
Autillo
Ave
Avefría
Avesol
Avestruz
Avetigre
Avetorillo
Avetoro
Avispa
Avispón
Avión
Avoceta
Avutarda
Axolote
Aye-aye
Ayu
Azor
Azulejo
Azulillo
Azulito
Azulón
Añapero
Añuje
Añuma
Babirusa
Babosa
Babuino
Bacaladilla
Bacalao
Bacalete
Bacoreta
Bagre
Baiji
Baila
Bailarina
Balano
Ballena
Bambusícola
Bandicut
Bandido
Bandurria
Bandurrita
Banteng
Baral
Barasinga
Barbada
Barbo
Barbudo
Baribal
Barnacla
Barracuda
Barracudina
Barramunda
Barramundi
Barrancolí
Barranquero
Basilisco
Basáride
Batarito
Batará
Batis
Baza
Becada
Becasina
Beira
Bejel
Belemnites
Beluga
Bengalí
Berberecho
Bermejuela
Berrendo
Berrugata
Besugo
Bettong
Biajaiba
Bias
Bichir
Bienteveo
Bigotudo
Biguá
Bilbi
Binturong
Birollo
Birro
Bisbita
Bisonte
Blanquillo
Blenia
Blesbok
Boa
Boca
Bocadulce
Bocarte
Bocón
Bodión
Boga
Bogavante
Bolo
Bombilla
Bongo
Bonito
Bonobo
Bontebok
Boomslang
Boquerón
Bordallo
Borochi
Borriquete
Bosbok
Bostezador
Boto
Botón
Boyero
Breca
Brema
Brillante
Broma
Brosmio
Brubrú
Bruja
Brótola
Brótula
Bubute
Bubú
Bucardo
Buco
Budión
Buey
Bufalero
Buitre
Buitrón
Bulbul
Burdégano
Burrito
Burro
Busardo
Buscarla
Bushbuck
Bígaro
Búbalo
Búfalo
Búho
Caballa
Caballito
Caballo
Cabasú
Cabezuda
Cabezón
Cabra
Cabrachito
Cabracho
Cabruza
Cacatúa
Cacerola
Cachalote
Cachama
Cachema
Cacho
Cachorrito
Cachudito
Cacique
Cacomixtle
Caduchón
Caimán
Caique
Caiquén
Cajaro
Calamar
Calamón
Calandria
Calderón
Calzadito
Cama
Camachuelo
Camaleón
Camarón
Camaróptera
Camea
Camello
Caminera
Campanero
Campañol
Canario
Canastera
Canastero
Candelita
Candil
Candirú
Cangrejo
Canguro
Canquén
Cantil
Cantárida
Cao
Capellán
Capelán
Capibara
Capuchino
Capulinero
Carabela
Carabinero
Caracal
Caracara
Caracol
Caracola
Caracolero
Caramel
Caranca
Carancho
Carbonerito
Carbonero
Carcoma
Cardenal
Cardenalito
Cariblanco
Caribú
Carite
Carmelita
Carocho
Carpa
Carpincho
Carpintero
Carpín
Carraca
Carrao
Carricero
Carricerín
Casarte
Cascanueces
Castañuela
Castor
Casuario
Catalufa
Catemo
Catita
Catán
Cauquén
Cavilat
Cazón
Cañabota
Cañadilla
Cebra
Cebú
Cecilia
Celacanto
Celestino
Ceniciento
Centollo
Cerceta
Cercopiteco
Cerdo
Cereopsis
Cernícalo
Cerquero
Cervatillo
Cervicabra
Cetia
Chacahuala
Chacal
Chacalaca
Chafarrocas
Chagra
Chajá
Chango
Chanquete
Chaparrudo
Chara
Charal
Charlatán
Charrán
Chelco
Cherna
Chicharra
Chicharro
Chimpancé
Chinche
Chinchilla
Chingolo
Chinkara
Chinuc
Chipe
Chipojo
Chiricoca
Chirigüe
Chirla
Chirrete
Chirú
Chital
Chocha
Chochita
Chochín
Choco
Chocorrón
Chopa
Chopí
Chorlitejo
Chorlito
Chorlo
Chotacabras
Choto
Chotoy
Chova
Chucla
Chupasavia
Churrín
Chusinga
Chuña
Ciclóptero
Ciempiés
Ciervo
Cigala
Cigarra
Cigarrón
Cigua
Cigüeña
Cigüeñuela
Cimerillo
Cimitarra
Cinta
Cinturón
Cisne
Cistícola
Civeta
Clamidosaurio
Clorofonia
Coatí
Cobaya
Cobia
Cobo
Cobra
Cochi
Cochinilla
Cochoa
Cocobino
Cocodrilo
Cocuy
Codorniz
Coendú
Cogujada
Cohombro
Coipo
Cojinoba
Cola
Colaespina
Colagrís
Colibrí
Colimbo
Colirrojo
Collalba
Colmilleja
Colmillo
Colobo
Colorín
Coludo
Colugo
Colémbolo
Colín
Comadreja
Combatiente
Concha
Concón
Conejillo
Conejo
Congrio
Conirrostro
Conquistador
Copetón
Coqueta
Coquina
Coquí
Coral
Corbatita
Corcovado
Cormorán
Cornalito
Corneja
Cornuda
Corocoro
Coronafelpa
Correcaminos
Corredor
Correlimos
Corretroncos
Corsito
Cortacubas
Cortarramas
Cortecerito
Corvina
Corvino
Corzo
Corzuela
Corégono
Corúa
Cotara
Cotiara
Cotinga
Cotorra
Cotuza
Cotúa
Coyote
Crisopa
Crombec
Críalo
Crótalo
Cuaga
Cuatro
Cubla
Cucaburra
Cucal
Cucaracha
Cucarachero
Cucha
Cuchara
Cuclillo
Cuco
Cuellopelado
Cuervo
Cuis
Cuitlacoche
Culebra
Culebrera
Culebrilla
Cuna
Cuol
Curiyú
Curruca
